      0: global: energy port connected. master: system.energy_mgmt, slave: system.cpu
      0: system.energy_mgmt: Energy Management module initialized!
      0: system.energy_mgmt: Energy profile: ./profile/energy_prof (Time unit: 1000000 ticks)
143000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1089.29
144000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1096.87
145000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1104.44
146000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1112.01
147000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1119.58
148000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1127.15
149000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1134.72
150000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1142.29
151000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1149.87
152000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1157.44
153000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1165.01
154000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1172.58
155000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1180.15
156000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1187.72
157000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1195.3
158000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1202.87
159000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1210.44
160000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1218.01
161000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1225.58
162000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1233.15
163000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1240.72
164000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1248.3
165000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1255.87
166000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1263.44
167000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1271.01
168000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1278.58
169000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1286.15
170000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1293.72
171000000: system.energy_mgmt: Energy 7.57149 is harvested. Energy remained: 1301.3
